elo1, elo2, res, round
2506,2056,1-0,1
2047,2505,0-1,1
2495,2039,1-0,1
2031,2480,0-1,1
2471,2028,1-0,1
2026,2454,0-1,1
2444,2014,1-0,1
2011,2432,0-1,1
2428,2008,1-0,1
1991,2419,0-1,1
1983,2412,0-1,1
2410,1965,1-0,1
1963,2398,0-1,1
2396,1949,1-0,1
2389,1945,1-0,1
1924,2387,0-1,1
2385,1923,1-0,1
1918,2379,0-1,1
2369,1917,1-0,1
1913,2368,1/2-1/2,1
2367,1880,1-0,1
1874,2358,0-1,1
2347,1871,0-1,1
1859,2340,1-0,1
2338,1854,1-0,1
1842,2336,0-1,1
2333,1835,1-0,1
1830,2332,0-1,1
2332,1829,1-0,1
1828,2330,0-1,1
2329,1824,1-0,1
1808,2328,0-1,1
2327,1795,1-0,1
1791,2323,0-1,1
2320,1719,1-0,1
1712,2307,0-1,1
2307,1702,1-0,1
1698,2306,0-1,1
2299,1694,1-0,1
1685,2291,0-1,1
2282,1683,1-0,1
1639,2258,0-1,1
2247,1626,1-0,1
1625,2240,1/2-1/2,1
2233,1554,1-0,1
1554,2228,0-1,1
2220,1517,1-0,1
1501,2220,0-1,1
2214,1481,1-0,1
1437,2204,0-1,1
2158,2507,0-1,1
2417,1851,1-0,1
2393,2683,0-1,2
2670,2389,1-0,2
2387,2647,1-0,2
2643,2385,1-0,2
2379,2640,1/2-1/2,2
2627,2369,1-0,2
2367,2606,0-1,2
2603,2338,1-0,2
2358,2602,0-1,2
2602,2333,1-0,2
2336,2600,0-1,2
2593,2332,0-1,2
2332,2586,1/2-1/2,2
2580,2329,1-0,2
2330,2579,0-1,2
2578,2327,1/2-1/2,2
2328,2565,0-1,2
2563,2320,1-0,2
2323,2557,1-0,2
2533,2307,1-0,2
2307,2529,0-1,2
2306,2527,1/2-1/2,2
2524,2299,1-0,2
2291,2524,1/2-1/2,2
2507,2282,1-0,2
2258,2506,1/2-1/2,2
2505,2247,1-0,2
2233,2495,0-1,2
2480,2220,1-0,2
2228,2471,0-1,2
2454,2214,1-0,2
2220,2444,1/2-1/2,2
2432,2200,1-0,2
2204,2428,0-1,2
2419,2183,1/2-1/2,2
2195,2417,0-1,2
2412,2091,1-0,2
2177,2410,0-1,2
2398,1859,1-0,2
1871,2396,0-1,2
2368,1792,1-0,2
2240,1913,1-0,2
2529,1625,1-0,2
1949,2347,0-1,2
2173,1945,1-0,2
1923,2171,1/2-1/2,2
2170,1924,1-0,2
1917,2168,1/2-1/2,2
2165,1918,0-1,2
1880,2165,1-0,2
2163,1874,1-0,2
1854,2158,1/2-1/2,2
1851,2158,0-1,2
2157,1842,0-1,2
1835,2153,1/2-1/2,2
2142,1830,1-0,2
1829,2140,0-1,2
2135,1828,1-0,2
1824,2133,1/2-1/2,2
2117,1808,1-0,2
1795,2110,0-1,2
2105,1791,1-0,2
1719,2099,0-1,2
2098,1712,0-1,2
1702,2098,1/2-1/2,2
2095,1698,1-0,2
2090,1694,1/2-1/2,2
1683,2089,0-1,2
2087,1685,1-0,2
2056,1639,1-0,2
1626,2047,1/2-1/2,2
2039,1554,1-0,2
1554,2031,0-1,2
2028,1501,1-0,2
1517,2026,0-1,2
2014,1437,1-0,2
1481,2011,0-1,2
1918,2228,1/2-1/2,3
2220,1965,1-0,3
2214,1880,1-0,3
1859,2204,1/2-1/2,3
2200,1871,1-0,3
1842,2195,0-1,3
1792,2177,1-0,3
1712,2173,0-1,3
2171,1917,1-0,3
2168,1913,1/2-1/2,3
2158,1835,1-0,3
2153,1854,1-0,3
2133,1702,1-0,3
2098,1626,1/2-1/2,3
1625,2090,1/2-1/2,3
2047,1824,1/2-1/2,3
1694,1923,0-1,3
1698,2165,1-0,3
2165,1719,0-1,3
1685,2157,0-1,3
1639,2098,0-1,3
1554,1949,1-0,3
1945,1554,1-0,3
1924,1517,1/2-1/2,3
1874,1501,1-0,3
1437,1851,1-0,3
1830,1481,1-0,3
2683,2507,1-0,3
2505,2670,0-1,3
2495,2643,0-1,3
2480,2627,0-1,3
2606,2454,0-1,3
2471,2603,1/2-1/2,3
2602,2432,0-1,3
2428,2602,1/2-1/2,3
2600,2412,1-0,3
2417,2580,1/2-1/2,3
2579,2398,1-0,3
2565,2387,1-0,3
2410,2563,1/2-1/2,3
2396,2533,1/2-1/2,3
2529,2323,1/2-1/2,3
2332,2524,0-1,3
2640,2368,1-0,3
2586,2306,1-0,3
2332,2578,0-1,3
2527,2291,1-0,3
2524,2258,1-0,3
2506,2220,1/2-1/2,3
2444,2240,1/2-1/2,3
2327,2419,0-1,3
2183,2379,1/2-1/2,3
2647,2163,1-0,3
2158,2593,0-1,3
2557,2170,1-0,3
2140,2529,0-1,3
2110,2393,1/2-1/2,3
2389,2142,1/2-1/2,3
2385,2135,1-0,3
2369,2117,1-0,3
2099,2367,0-1,3
2091,2358,0-1,3
2347,2105,1-0,3
2089,2340,1/2-1/2,3
2338,2095,1-0,3
2031,2336,1/2-1/2,3
2333,2087,1-0,3
2026,2330,0-1,3
2329,2056,1-0,3
2011,2328,0-1,3
2320,2039,1/2-1/2,3
1991,2307,0-1,3
2307,2028,1-0,3
2299,2014,1-0,3
2282,2008,1-0,3
2247,1983,1-0,3
1963,2233,0-1,3
2524,2683,1/2-1/2,4
2670,2579,0-1,4
2643,2565,0-1,4
2627,2454,1/2-1/2,4
2432,2600,1/2-1/2,4
2527,2640,0-1,4
2603,2524,1-0,4
2602,2471,1-0,4
2323,2586,1-0,4
2580,2428,1-0,4
2578,2417,1-0,4
2563,2396,1-0,4
2533,2410,1/2-1/2,4
2419,2529,1/2-1/2,4
2338,2647,0-1,4
2333,2606,0-1,4
2332,2602,0-1,4
2593,2329,1-0,4
2330,2557,1/2-1/2,4
2529,2307,1-0,4
2507,2299,1-0,4
2328,2506,0-1,4
2307,2505,1/2-1/2,4
2282,2495,1/2-1/2,4
2247,2480,1-0,4
2233,2444,1/2-1/2,4
2412,2220,1-0,4
2398,2214,1/2-1/2,4
2387,2200,1-0,4
2240,2385,1/2-1/2,4
2379,1792,1-0,4
2220,2369,0-1,4
2195,2367,1/2-1/2,4
2358,2183,1-0,4
2173,2347,0-1,4
2393,2171,1-0,4
2204,2389,1/2-1/2,4
2368,2158,0-1,4
2340,2153,1-0,4
2336,2133,1/2-1/2,4
2142,2332,0-1,4
2039,2327,0-1,4
1923,2320,1-0,4
2306,2110,1-0,4
2291,2089,1/2-1/2,4
2258,2031,0-1,4
2228,1859,1-0,4
2177,1918,1-0,4
1983,2170,1/2-1/2,4
1965,2168,1/2-1/2,4
2163,1963,1-0,4
1945,2158,1/2-1/2,4
1913,2140,1/2-1/2,4
2135,1874,1-0,4
2117,1842,1/2-1/2,4
2105,1830,0-1,4
1880,2099,0-1,4
2098,1828,1-0,4
1871,2098,1/2-1/2,4
2095,1808,1-0,4
1829,2091,0-1,4
2090,1791,0-1,4
2087,1712,1-0,4
2056,1698,1-0,4
1795,2047,1-0,4
2028,1625,1-0,4
1824,2026,1-0,4
2014,1554,0-1,4
1719,2011,0-1,4
2008,1437,1-0,4
1626,1991,0-1,4
1835,1924,1-0,4
1917,1702,1/2-1/2,4
1854,1694,1-0,4
1517,2165,0-1,4
1501,2165,0-1,4
1949,1481,1/2-1/2,4
2579,2565,1/2-1/2,5
2683,2580,1-0,5
2640,2578,1/2-1/2,5
2563,2627,0-1,5
2524,2603,1/2-1/2,5
2454,2602,1/2-1/2,5
2600,2323,1-0,5
2670,2432,1-0,5
2647,2419,1-0,5
2506,2643,1/2-1/2,5
2606,2412,1-0,5
2602,2387,1-0,5
2410,2593,0-1,5
2379,2533,1/2-1/2,5
2529,2358,1-0,5
2369,2529,1/2-1/2,5
2347,2507,0-1,5
2586,2247,1-0,5
2557,2340,1/2-1/2,5
2332,2527,1/2-1/2,5
2524,2330,1/2-1/2,5
2327,2505,0-1,5
2495,2307,1-0,5
2471,2306,1-0,5
2444,2282,0-1,5
2428,2240,1/2-1/2,5
2417,2233,1/2-1/2,5
2158,2398,0-1,5
2396,2228,1-0,5
2393,2214,1/2-1/2,5
2385,2195,0-1,5
2367,1923,0-1,5
2031,2338,1/2-1/2,5
2480,2135,1-0,5
2389,2098,1-0,5
2099,2336,0-1,5
2133,2333,0-1,5
2095,2332,1-0,5
2329,2087,1/2-1/2,5
2091,2328,1/2-1/2,5
2307,2056,1/2-1/2,5
2299,2028,1-0,5
2011,2291,0-1,5
2220,2008,1-0,5
2089,2220,1-0,5
1991,2204,0-1,5
2200,1824,1-0,5
2183,1795,1-0,5
1830,2177,0-1,5
1792,2173,0-1,5
1791,2163,0-1,5
1554,2157,0-1,5
2110,2368,1-0,5
2320,1983,1-0,5
2039,2258,1/2-1/2,5
1918,2171,0-1,5
2170,1965,1/2-1/2,5
2168,1945,1/2-1/2,5
2158,1913,0-1,5
2153,1871,1/2-1/2,5
1842,2142,0-1,5
2140,1854,1-0,5
1859,2117,1-0,5
2165,1835,1-0,5
2165,1829,0-1,5
1828,2105,0-1,5
1808,2090,0-1,5
2047,1719,1-0,5
2026,1712,1/2-1/2,5
1702,2014,0-1,5
1963,1698,1-0,5
1685,1917,0-1,5
1639,1880,0-1,5
1874,1554,0-1,5
1625,1851,0-1,5
1437,1949,0-1,5
1694,1517,1/2-1/2,5
1481,1683,1/2-1/2,5
2565,2683,1/2-1/2,6
2627,2600,1-0,6
2647,2579,1/2-1/2,6
2593,2670,1/2-1/2,6
2507,2640,1-0,6
2578,2606,1/2-1/2,6
2603,2529,1/2-1/2,6
2454,2602,1/2-1/2,6
2602,2524,1/2-1/2,6
2643,2471,1-0,6
2432,2586,0-1,6
2580,2396,1-0,6
2398,2563,0-1,6
2533,2369,1-0,6
2529,2379,0-1,6
2323,2506,0-1,6
2505,2282,1-0,6
2195,2495,0-1,6
1923,2557,0-1,6
2330,2527,1/2-1/2,6
2299,2524,0-1,6
2291,2480,1/2-1/2,6
2247,2428,1/2-1/2,6
2419,2233,1-0,6
2240,2417,1/2-1/2,6
2412,2200,1-0,6
2214,2410,0-1,6
2204,2393,1/2-1/2,6
2177,2389,0-1,6
2387,2220,1/2-1/2,6
2358,2095,1-0,6
2163,2347,1/2-1/2,6
2340,2031,1-0,6
2336,2183,1-0,6
2173,2333,0-1,6
2157,2332,0-1,6
2444,2089,1-0,6
2228,2385,0-1,6
2171,2367,1-0,6
2338,2158,1-0,6
2142,2329,1/2-1/2,6
2328,2140,1-0,6
2087,2327,0-1,6
2056,2320,0-1,6
2307,2110,1-0,6
1913,2307,0-1,6
2306,2091,1-0,6
2258,1859,1-0,6
2008,2332,0-1,6
2220,1991,1-0,6
2170,1963,1/2-1/2,6
1880,2168,0-1,6
1965,2165,0-1,6
1945,2153,0-1,6
2135,1917,1-0,6
1871,2133,1-0,6
2105,1851,1-0,6
1829,2099,1/2-1/2,6
2098,1830,1-0,6
2090,1792,1-0,6
1554,2047,0-1,6
1824,2039,1-0,6
2028,1554,1-0,6
2014,1791,1/2-1/2,6
1795,2011,0-1,6
1854,2158,0-1,6
2117,1924,1/2-1/2,6
2098,1918,1-0,6
1835,2026,0-1,6
1983,1842,1/2-1/2,6
1712,1949,0-1,6
1626,1874,1/2-1/2,6
1683,2165,0-1,6
1517,1828,0-1,6
1501,1808,0-1,6
1719,1639,1-0,6
1702,1625,1-0,6
1698,1437,1-0,6
1481,1685,1-0,6
2683,2627,1/2-1/2,7
2579,2507,1/2-1/2,7
2606,2565,1-0,7
2670,2578,1/2-1/2,7
2563,2647,1-0,7
2529,2643,0-1,7
2506,2603,1/2-1/2,7
2602,2533,1-0,7
2495,2602,0-1,7
2600,2505,1-0,7
2524,2593,1/2-1/2,7
2586,2454,1-0,7
2379,2580,1/2-1/2,7
2640,2389,1-0,7
2557,2358,1-0,7
2524,2340,1/2-1/2,7
2333,2419,1-0,7
2332,2412,1/2-1/2,7
2410,2336,0-1,7
2328,2529,0-1,7
2527,2323,1-0,7
2480,2307,1-0,7
2471,2291,1/2-1/2,7
2327,2444,0-1,7
2320,2432,1-0,7
2428,2306,1-0,7
2417,2247,1-0,7
2307,2398,1/2-1/2,7
2396,2240,1/2-1/2,7
2393,2195,1/2-1/2,7
2282,2387,1-0,7
2385,2204,1/2-1/2,7
2369,2171,1-0,7
2347,1923,1-0,7
2220,2338,0-1,7
2163,2330,1/2-1/2,7
2332,2142,1/2-1/2,7
2329,2135,1-0,7
2153,2299,0-1,7
2105,2258,0-1,7
2233,2098,0-1,7
2095,2220,0-1,7
2089,2214,0-1,7
2200,2090,1-0,7
2183,2028,1-0,7
2047,2177,0-1,7
2031,2173,1/2-1/2,7
2168,1871,1/2-1/2,7
2165,1824,1-0,7
2011,2157,1/2-1/2,7
2091,2368,1/2-1/2,7
2367,2087,1-0,7
2026,2228,0-1,7
1949,2170,0-1,7
2158,2056,1/2-1/2,7
2158,2014,1/2-1/2,7
2140,1963,1-0,7
2110,1829,1-0,7
2099,1913,1-0,7
1859,2098,1-0,7
1791,2117,0-1,7
2165,1795,1-0,7
2133,1719,1-0,7
2039,1702,1-0,7
1830,2008,1-0,7
1991,1698,1-0,7
1828,1983,0-1,7
1808,1965,1-0,7
1792,1945,1-0,7
1924,1694,0-1,7
1917,1626,0-1,7
1554,1880,1-0,7
1851,1554,1-0,7
1842,1481,1/2-1/2,7
1918,1712,1-0,7
1874,1685,0-1,7
1437,1683,1/2-1/2,7
2627,2602,1/2-1/2,8
2600,2683,1-0,8
2643,2586,1-0,8
2507,2606,0-1,8
2602,2579,1-0,8
2670,2563,0-1,8
2336,2640,0-1,8
2603,2557,1/2-1/2,8
2593,2506,1/2-1/2,8
2580,2524,1-0,8
2578,2379,1-0,8
2565,2333,1/2-1/2,8
2444,2647,0-1,8
2533,2428,1-0,8
2417,2529,1/2-1/2,8
2529,2347,1-0,8
2412,2527,1/2-1/2,8
2369,2524,1/2-1/2,8
2505,2338,1-0,8
2340,2495,0-1,8
2332,2480,1-0,8
2454,2320,1/2-1/2,8
2419,2282,1-0,8
2258,2471,0-1,8
2291,2410,1-0,8
2398,2200,1-0,8
2220,2396,0-1,8
2240,2393,1/2-1/2,8
2389,2183,1-0,8
2214,2385,1/2-1/2,8
2358,2163,1-0,8
2330,2165,1-0,8
2204,2329,1/2-1/2,8
2195,2307,1-0,8
2177,2299,0-1,8
2098,2367,0-1,8
2432,2168,1-0,8
2387,2140,1/2-1/2,8
2171,2332,0-1,8
2170,2328,0-1,8
2157,2327,1/2-1/2,8
2323,2110,1-0,8
2307,2099,1-0,8
2306,2031,0-1,8
2142,2247,1-0,8
2228,2011,0-1,8
1923,2220,0-1,8
2173,1859,1-0,8
1871,2233,1-0,8
2368,2047,1-0,8
2165,2039,0-1,8
1991,2158,0-1,8
2014,2153,0-1,8
2135,1830,1/2-1/2,8
1983,2133,1-0,8
2117,1792,1-0,8
1824,2105,1-0,8
1851,2095,0-1,8
1808,2091,0-1,8
2090,1626,1-0,8
1694,2089,0-1,8
1913,2098,1/2-1/2,8
2087,1918,1-0,8
1854,2026,1-0,8
1963,1842,1/2-1/2,8
1949,1791,1/2-1/2,8
2008,1481,1-0,8
1965,1702,1/2-1/2,8
1698,1945,0-1,8
1685,1924,0-1,8
1917,1639,0-1,8
1880,1625,0-1,8
1683,1828,1-0,8
1795,1554,0-1,8
1719,1517,0-1,8
1501,1835,0-1,8
2028,2158,1/2-1/2,8
2056,1554,0-1,8
2563,2643,1/2-1/2,9
2602,2627,1/2-1/2,9
2606,2600,1/2-1/2,9
2640,2580,1/2-1/2,9
2602,2578,1/2-1/2,9
2683,2533,1-0,9
2647,2529,1/2-1/2,9
2495,2603,0-1,9
2333,2593,0-1,9
2586,2507,1-0,9
2579,2505,1-0,9
2506,2565,1-0,9
2557,2332,1-0,9
2396,2670,0-1,9
2529,2389,1-0,9
2527,2369,1-0,9
2524,2358,1-0,9
2524,2336,1-0,9
2471,2330,1-0,9
2379,2454,0-1,9
2320,2419,1/2-1/2,9
2299,2417,0-1,9
2291,2412,1-0,9
2195,2398,1/2-1/2,9
2480,2328,1-0,9
2220,2444,1-0,9
2282,2432,0-1,9
2428,2323,1/2-1/2,9
2393,2307,1-0,9
2385,2173,1/2-1/2,9
2367,2240,1/2-1/2,9
2347,2214,0-1,9
2011,2340,0-1,9
2338,2142,1/2-1/2,9
2332,2204,1-0,9
2329,1871,1-0,9
2031,2410,0-1,9
2153,2387,0-1,9
2140,2368,0-1,9
2327,2117,1-0,9
2307,2157,1/2-1/2,9
2095,2258,0-1,9
2091,2220,0-1,9
2200,2098,1-0,9
2183,2090,1-0,9
2089,2177,0-1,9
2165,2039,1-0,9
2163,1983,1-0,9
2158,1824,1-0,9
1554,2306,0-1,9
2247,2087,1-0,9
2099,2171,0-1,9
1830,2170,0-1,9
2168,2028,1-0,9
2158,1923,1-0,9
1859,2135,0-1,9
2133,1854,1-0,9
2233,1913,1-0,9
1851,2165,0-1,9
1842,2105,0-1,9
2098,1829,1/2-1/2,9
1792,2056,0-1,9
2047,1808,1-0,9
1626,2014,0-1,9
1791,2008,1/2-1/2,9
1625,1991,1-0,9
1554,1963,0-1,9
1945,1683,1-0,9
1924,1639,1-0,9
1702,2026,0-1,9
1481,1965,1/2-1/2,9
1835,1712,1-0,9
1719,1880,1-0,9
1828,1698,1/2-1/2,9
1685,1795,0-1,9
1437,1501,1-0,9
2110,2228,0-1,9
2102,2767,0-1,1
2700,2098,1-0,1
2093,2666,0-1,1
2664,2092,1-0,1
2091,2653,0-1,1
2639,2085,1-0,1
2082,2635,0-1,1
2635,2067,1-0,1
2057,2615,0-1,1
2612,2048,1-0,1
2045,2611,0-1,1
2594,2045,1-0,1
2040,2591,0-1,1
2588,2034,1/2-1/2,1
2032,2577,0-1,1
2575,2012,1-0,1
2011,2561,0-1,1
2556,2007,1-0,1
2003,2531,0-1,1
2523,2000,1-0,1
2000,2512,0-1,1
2506,1997,1-0,1
1983,2504,0-1,1
2502,1961,1-0,1
1960,2500,0-1,1
2461,1959,1-0,1
1948,2460,0-1,1
2456,1947,1-0,1
1944,2454,0-1,1
2452,1941,1/2-1/2,1
2439,1939,1-0,1
1939,2432,0-1,1
2424,1936,1-0,1
1926,2422,0-1,1
2421,1926,1-0,1
1913,2417,1/2-1/2,1
2416,1903,1-0,1
1900,2410,0-1,1
2400,1892,1-0,1
1884,2398,0-1,1
2372,1884,1-0,1
1882,2361,0-1,1
2360,1879,1-0,1
1879,2358,0-1,1
2357,1878,1-0,1
1877,2356,0-1,1
2355,1876,1-0,1
1875,2350,0-1,1
2346,1864,1-0,1
2341,1858,0-1,1
1852,2336,0-1,1
2331,1849,1-0,1
2265,2326,1/2-1/2,1
2321,1814,1-0,1
1810,2315,0-1,1
1789,2290,0-1,1
1772,2287,0-1,1
2283,1769,1-0,1
2279,1763,1-0,1
2108,2269,1/2-1/2,1
1734,2255,0-1,1
2250,1731,1-0,1
1716,2245,0-1,1
2241,1707,1-0,1
2226,1688,1-0,1
1682,2224,0-1,1
2219,1677,1-0,1
1657,2217,0-1,1
2217,1643,1-0,1
1638,2210,0-1,1
2205,1627,1-0,1
1618,2205,0-1,1
2202,1612,1-0,1
1602,2195,0-1,1
2310,1793,1-0,1
2183,1580,1-0,1
2175,1558,1-0,1
1544,2171,0-1,1
2170,1524,1-0,1
1474,2164,0-1,1
2161,1462,1-0,1
1449,2153,0-1,1
2147,1323,1-0,1
1298,2132,0-1,1
1928,1379,1-0,1
2767,2346,1-0,2
2346,2700,0-1,2
2666,2331,1-0,2
2336,2664,0-1,2
2653,2321,1-0,2
2315,2639,0-1,2
2290,2635,0-1,2
2615,2283,1-0,2
2287,2612,0-1,2
2611,2279,1-0,2
2279,2594,1-0,2
2591,2250,1-0,2
2577,2241,1-0,2
2255,2575,0-1,2
2561,2226,1-0,2
2245,2556,1/2-1/2,2
2531,2219,1-0,2
2239,2523,1/2-1/2,2
2512,2217,1-0,2
2224,2506,0-1,2
2217,2504,0-1,2
2210,2502,1/2-1/2,2
2500,2205,1-0,2
2205,2461,0-1,2
2460,2202,1-0,2
2195,2456,1/2-1/2,2
2454,2183,1/2-1/2,2
2440,2175,1-0,2
2178,2439,0-1,2
2432,2170,0-1,2
2171,2424,0-1,2
2422,2161,1-0,2
2164,2421,0-1,2
2153,2416,1-0,2
2410,2152,1-0,2
2148,2400,1/2-1/2,2
2398,2147,1-0,2
2132,2372,0-1,2
2361,2129,1-0,2
2127,2360,0-1,2
2358,2122,1-0,2
2121,2357,0-1,2
2356,2117,1-0,2
1858,2355,1-0,2
2350,1928,1-0,2
1941,2588,0-1,2
2417,2265,1/2-1/2,2
2326,2108,1-0,2
2034,2289,0-1,2
2269,1913,1-0,2
1849,2341,0-1,2
1814,2102,0-1,2
1793,2093,1/2-1/2,2
2092,1852,1-0,2
1769,2091,0-1,2
2085,1810,1-0,2
1763,2082,0-1,2
2067,1789,0-1,2
1731,2057,0-1,2
2048,1772,1/2-1/2,2
1707,2045,0-1,2
1688,2040,1/2-1/2,2
1677,2032,1-0,2
2012,1734,1-0,2
1643,2011,0-1,2
2007,1716,1/2-1/2,2
1627,2003,0-1,2
1612,2000,0-1,2
1997,1682,1-0,2
1961,1657,1-0,2
1580,1960,0-1,2
1959,1638,1-0,2
1558,1948,1-0,2
1947,1618,1-0,2
1524,1944,0-1,2
1939,1602,1/2-1/2,2
2635,2310,1-0,2
1462,1939,0-1,2
1926,1544,1/2-1/2,2
1903,1474,1/2-1/2,2
1379,1900,1/2-1/2,2
1892,1449,1-0,2
1323,1884,0-1,2
1879,1298,1-0,2
1824,1875,1-0,2
2461,2767,0-1,3
2700,2460,1-0,3
2440,2666,1/2-1/2,3
2664,2422,1-0,3
2439,2653,0-1,3
2639,2410,1/2-1/2,3
2424,2635,0-1,3
2635,2398,1-0,3
2421,2615,1/2-1/2,3
2612,2361,1-0,3
2372,2611,0-1,3
2360,2591,0-1,3
2358,2577,1/2-1/2,3
2575,2356,0-1,3
2357,2561,0-1,3
2350,2531,1/2-1/2,3
2279,2512,0-1,3
2506,2153,1-0,3
2504,1858,1-0,3
2170,2500,0-1,3
2588,2326,1-0,3
2556,2269,1-0,3
2523,2245,1/2-1/2,3
2502,2239,1-0,3
2456,2210,1-0,3
2289,2454,0-1,3
2452,2148,1-0,3
2400,2195,1-0,3
2183,2594,1/2-1/2,3
2117,2432,0-1,3
2102,1528,0-1,3
2416,2121,1-0,3
2355,2098,1-0,3
2346,2092,1-0,3
2091,2346,0-1,3
2341,2085,1-0,3
2082,2336,1/2-1/2,3
2331,2057,1-0,3
2321,2045,1-0,3
2011,2315,0-1,3
2003,2290,0-1,3
2000,2287,1/2-1/2,3
2283,2012,1-0,3
2279,1997,1-0,3
2265,1961,0-1,3
1960,2255,0-1,3
2250,1959,1/2-1/2,3
2241,1947,1-0,3
2226,1944,1-0,3
1939,2224,0-1,3
2219,1936,1-0,3
1928,2217,1-0,3
2205,1892,1-0,3
1926,2205,0-1,3
2202,1884,1-0,3
1884,2178,0-1,3
2175,1879,1-0,3
1882,2171,0-1,3
1879,2164,0-1,3
2161,1878,1/2-1/2,3
2152,1876,0-1,3
2147,1824,1-0,3
1877,2132,0-1,3
2129,1677,1-0,3
1789,2127,1-0,3
2122,1558,1/2-1/2,3
2108,1903,1-0,3
1900,2048,1-0,3
2040,1793,0-1,3
1772,2034,0-1,3
1716,2000,1/2-1/2,3
1602,1941,0-1,3
1544,1939,0-1,3
1474,1926,0-1,3
1913,1688,0-1,3
2067,1379,1-0,3
2032,1627,1-0,3
2310,2045,1-0,3
1948,1612,1-0,3
1875,1580,1-0,3
1638,1864,0-1,3
1852,1462,1-0,3
1618,1849,0-1,3
1449,1769,1/2-1/2,3
1298,1731,0-1,3
2767,2611,1-0,4
2591,2700,0-1,4
2561,2664,0-1,4
2653,2506,1-0,4
2635,2504,1-0,4
2500,2635,0-1,4
2356,2612,1/2-1/2,4
2666,2456,1/2-1/2,4
2454,2639,1/2-1/2,4
2615,2452,1-0,4
2588,2440,1/2-1/2,4
2577,2421,0-1,4
2410,2556,1/2-1/2,4
2531,2400,1/2-1/2,4
2512,2358,1/2-1/2,4
