elo1, elo2, res
2403,1843,1-0
1843,2401,0-1
2394,1839,1-0
1835,2393,0-1
2390,1833,1-0
1833,2380,0-1
2380,1828,1-0
1823,2379,0-1
2366,1808,1-0
1807,2357,0-1
2355,1806,1-0
1802,2351,0-1
2350,1787,1-0
1784,2349,1/2-1/2
2347,1781,1-0
1776,2345,1/2-1/2
2338,1775,1-0
1774,2337,0-1
2324,1767,1-0
1761,2321,0-1
2321,1756,1-0
1724,2317,0-1
2315,1720,1-0
1716,2315,0-1
2308,1701,1-0
1700,2307,0-1
2303,1697,1-0
1694,2302,0-1
2300,1692,1-0
1678,2288,0-1
2287,1677,1-0
1676,2279,0-1
2278,1662,1-0
1648,2277,0-1
2275,1642,1-0
1641,2274,0-1
2269,1636,1-0
1634,2251,0-1
2247,1611,1-0
1599,2242,0-1
2230,1575,1-0
1574,2230,0-1
1571,2221,0-1
2212,1562,1-0
1549,2211,0-1
2202,1525,1-0
1499,2189,0-1
2182,1497,1-0
2180,1491,1-0
2177,1485,1-0
1475,2176,1-0
2174,1454,1-0
1450,2172,0-1
2171,1370,1-0
1362,2170,0-1
2166,1348,1-0
1335,2150,1/2-1/2
2150,1320,1-0
1304,2140,0-1
2138,1301,1-0
2133,1224,1-0
1159,2132,0-1
2131,1119,1-0
1038,2123,0-1
2376,1819,1-0
1824,1273,1-0
2123,1571,1-0
2519,2269,1/2-1/2
2491,2212,1-0
2482,2202,1-0
2468,2182,1-0
2447,2177,0-1
2170,2434,0-1
2428,2166,0-1
2132,2426,0-1
2422,2133,1/2-1/2
2404,2123,1-0
2100,2390,0-1
2087,2380,0-1
2083,2376,1/2-1/2
2357,2077,1/2-1/2
2065,2355,0-1
2651,1824,1-0
2349,1899,1-0
2345,1784,1-0
2150,1645,1-0
2065,1335,1-0
1806,2063,0-1
2062,1807,0-1
1787,2049,0-1
2045,1802,1-0
2044,1781,1-0
1775,2042,0-1
2031,1724,0-1
1701,2009,0-1
1697,2001,0-1
1994,1694,1-0
1662,1972,0-1
1968,1636,1/2-1/2
1611,1955,0-1
1571,1950,0-1
1497,1937,1-0
1485,1926,0-1
1454,1903,0-1
1900,1499,1-0
1273,1861,0-1
1224,1853,0-1
1845,1159,1-0
1119,1844,0-1
2532,2275,1-0
2230,2514,0-1
2514,2247,1-0
2221,2509,0-1
2498,2230,1/2-1/2
2211,2496,0-1
2189,2488,0-1
2180,2462,0-1
2176,2456,1/2-1/2
2172,2443,0-1
2435,2174,1-0
2433,2171,1-0
2140,2429,0-1
2123,2412,0-1
2408,2131,1-0
2122,2408,0-1
2401,2119,1-0
2107,2394,1/2-1/2
2393,2104,1/2-1/2
2380,2095,1-0
2379,2084,1-0
2069,2366,0-1
2351,2066,1-0
1895,2350,0-1
2450,2044,1-0
2339,1776,1-0
1767,2038,1-0
2037,1761,1-0
1756,2034,0-1
1720,2015,0-1
2009,1716,1-0
2008,1700,0-1
1985,1678,1-0
1677,1974,0-1
1973,1676,0-1
1972,1648,1-0
1642,1969,0-1
1951,1634,1/2-1/2
1948,1599,1-0
1525,1945,0-1
1944,1574,1-0
1929,1571,0-1
1909,1549,1-0
1370,1889,0-1
1889,1491,1-0
1348,1885,0-1
1320,1875,0-1
1874,1475,1-0
1301,1872,0-1
1868,1450,1-0
1855,1304,1-0
1843,1038,1-0
2039,1774,0-1
2347,2756,0-1
2736,2338,1-0
2337,2727,0-1
2676,2324,1/2-1/2
2321,2665,1-0
2317,2646,1/2-1/2
2642,2321,1-0
2315,2633,1/2-1/2
2625,2315,1-0
2307,2605,0-1
2242,2530,0-1
2603,2308,1-0
2302,2601,0-1
2585,2303,1/2-1/2
2288,2573,0-1
2566,2300,1-0
2279,2564,0-1
2277,2554,0-1
2548,2287,1/2-1/2
2274,2544,0-1
2540,2278,1-0
2251,2533,0-1
2560,2315,1-0
2269,2450,1-0
2665,2083,1-0
2001,2428,0-1
1986,2347,1-0
2308,1972,1-0
1972,2307,0-1
1969,2302,0-1
1955,2288,0-1
1926,2251,0-1
2247,1900,1/2-1/2
1903,2242,0-1
1889,2230,1/2-1/2
1885,2221,0-1
2131,1845,1-0
1835,2123,0-1
2123,1843,1-0
1823,2087,0-1
2063,1808,1-0
2015,1497,1-0
1571,2044,0-1
1634,1968,0-1
1575,1951,0-1
1562,1899,0-1
1784,1335,1-0
1574,2062,0-1
1475,1787,1/2-1/2
1320,1756,0-1
1694,1224,1-0
1678,1119,1-0
2345,2651,1/2-1/2
2646,2339,1-0
2633,2176,1-0
2324,2519,1/2-1/2
2303,2498,0-1
2287,2482,0-1
2461,2150,1/2-1/2
2456,2150,1-0
2230,2422,0-1
2133,2403,0-1
2394,2138,0-1
2393,2135,0-1
2376,2107,1/2-1/2
2104,2357,0-1
2077,2349,0-1
2009,2447,0-1
2338,2009,1-0
1974,2337,1-0
2321,1994,1-0
2315,1985,1-0
2300,1948,1-0
1950,2279,1-0
2278,1944,1-0
1945,2277,0-1
2275,1909,1-0
2212,1895,1-0
1875,2211,0-1
2202,1889,0-1
1872,2189,0-1
2182,1874,1-0
1861,2180,1-0
2174,1868,1-0
1853,2172,0-1
2171,1855,1-0
1844,2170,0-1
1843,2140,1-0
1833,2122,1-0
2119,1839,1/2-1/2
1824,2100,0-1
2095,1833,1-0
2084,1828,0-1
1818,2069,1/2-1/2
2066,1819,1/2-1/2
1807,2065,0-1
1724,2065,0-1
1700,2045,0-1
1676,2044,1/2-1/2
2042,1774,1-0
2034,1767,1/2-1/2
1880,1362,1-0
2038,1571,1-0
1549,2031,0-1
1525,2008,0-1
1499,1973,0-1
1937,1485,1-0
1491,1929,0-1
1781,1454,1-0
1450,1775,1-0
1761,1370,1-0
1304,1720,1-0
1716,1301,0-1
1273,1701,0-1
1038,1697,0-1
2756,2462,1-0
2443,2736,1/2-1/2
2727,2435,1-0
2434,2642,1/2-1/2
2605,2433,1-0
2429,2603,1/2-1/2
2601,2426,1-0
2412,2566,1/2-1/2
2554,2408,1-0
2544,2408,1-0
2530,2380,1-0
2390,2540,1/2-1/2
2533,2401,1-0
2380,2532,1-0
2514,2379,0-1
2509,2366,1-0
2496,2351,0-1
2355,2491,1/2-1/2
2488,2321,0-1
2350,2482,1/2-1/2
2177,2468,0-1
2166,2676,0-1
2349,2585,0-1
2651,2212,1-0
2519,2177,1/2-1/2
2221,2514,0-1
2189,2496,0-1
2462,2174,1-0
2447,2171,1-0
2435,2166,1-0
2428,2131,1-0
2426,2123,1/2-1/2
2408,2095,1-0
2401,2042,1-0
2380,2015,1-0
2366,1986,1/2-1/2
2123,2345,1/2-1/2
2337,1950,1-0
2087,2321,1-0
2065,2317,0-1
2045,2308,1-0
2037,2300,0-1
2277,1833,1-0
1828,2275,0-1
2450,2034,1-0
2049,2394,0-1
2339,1889,1-0
2315,1880,1-0
2044,2287,1/2-1/2
1951,2247,1/2-1/2
2230,1818,1-0
1839,2132,0-1
2083,1676,1-0
1645,2077,0-1
1636,2066,0-1
2279,1853,1/2-1/2
1855,2202,0-1
2180,1844,1/2-1/2
2140,1835,0-1
2122,1824,1-0
1845,2084,0-1
2062,1823,1-0
1843,2038,0-1
2031,1807,1-0
2009,1774,1-0
1833,2009,0-1
2008,1761,1-0
1808,2001,0-1
1994,1724,1-0
1985,1700,1-0
1781,1974,1-0
1973,1694,0-1
1756,1972,1-0
1972,1678,1-0
1701,1969,0-1
1677,1945,0-1
1944,1450,1-0
1662,1937,1/2-1/2
1929,1304,1-0
1642,1926,1-0
1611,1903,0-1
1301,1875,0-1
1362,1806,0-1
1802,1348,1-0
1787,1159,1-0
1335,1634,0-1
1775,1320,0-1
1720,1273,1-0
1692,1038,1-0
1454,1648,1-0
1370,1574,0-1
1224,1549,0-1
1119,1525,0-1
2509,2727,0-1
2468,2605,1/2-1/2
2380,2601,0-1
2379,2554,0-1
2351,2544,0-1
2321,2533,0-1
2736,2482,1-0
2676,2456,1-0
2642,2443,0-1
2422,2633,0-1
2530,2756,0-1
2403,2625,0-1
2603,2434,1-0
2573,2429,1-0
2566,2404,1/2-1/2
2564,2412,1-0
2357,2560,1/2-1/2
2540,2355,1-0
2138,2514,0-1
2498,2390,1/2-1/2
2491,2350,1/2-1/2
2482,2269,1-0
2251,2665,0-1
2242,2548,0-1
2532,2182,1-0
2211,2488,0-1
2172,2461,1/2-1/2
2433,2135,1-0
2408,2063,1-0
2170,2393,1/2-1/2
2150,2376,0-1
2107,2338,0-1
2100,2324,1/2-1/2
2065,2315,1/2-1/2
2307,1861,1-0
2302,1843,1/2-1/2
1889,2278,1-0
2044,2303,0-1
1968,2274,0-1
1900,2230,0-1
2176,1784,1-0
2150,1776,1/2-1/2
1899,2133,0-1
1819,2119,0-1
1767,2104,0-1
1868,2347,0-1
1697,1955,0-1
1948,1571,1/2-1/2
1485,1716,0-1
2317,2462,1/2-1/2
2277,2435,0-1
2288,2642,0-1
2274,2519,0-1
2177,2450,0-1
2393,2138,1-0
2345,2100,1-0
2315,2069,1/2-1/2
1986,2302,0-1
2347,2037,1-0
2287,2009,1-0
1950,2211,1-0
2202,1985,1-0
2174,1951,1-0
2166,1929,1-0
1875,2150,0-1
2131,1895,1-0
2063,1828,1-0
2038,1642,1-0
1806,2279,1-0
1784,2049,1-0
1676,1968,1/2-1/2
1634,1948,0-1
1937,1767,1/2-1/2
1575,1900,0-1
1571,1899,1-0
1475,1839,0-1
1678,2140,0-1
1574,1973,0-1
1491,1843,0-1
1824,1692,0-1
1823,1677,1-0
1774,1571,0-1
1761,1454,1-0
1724,1304,1-0
1700,1301,1-0
1224,1775,0-1
1648,1119,1-0
1038,1485,0-1
2756,2554,1-0
2727,2544,1/2-1/2
2601,2533,1/2-1/2
2736,2573,1-0
2514,2676,1/2-1/2
2633,2564,1/2-1/2
2625,2468,1-0
2605,2540,1-0
2443,2603,1-0
2665,2408,1-0
2357,2530,1/2-1/2
2404,2651,1/2-1/2
2401,2646,0-1
2585,2380,1-0
2390,2566,0-1
2560,2380,1-0
2548,2379,1-0
2376,2532,1-0
2514,2351,1-0
2350,2509,0-1
2338,2498,0-1
2496,2337,1-0
2321,2491,0-1
2488,2307,1-0
2300,2447,0-1
2275,2433,0-1
2087,2428,1/2-1/2
2045,2408,0-1
2482,1889,1-0
2461,2269,1-0
2456,2230,1/2-1/2
2434,2176,0-1
2429,2172,1-0
2133,2426,0-1
2132,2422,0-1
2412,2170,1-0
2123,2403,0-1
2394,2123,1-0
2119,2366,0-1
2355,2104,1/2-1/2
2066,2349,0-1
2077,2339,1-0
2324,2083,1-0
1843,2315,0-1
2303,2065,1-0
2321,2031,1-0
2308,2015,1-0
2278,2009,0-1
2001,2251,1/2-1/2
2247,2008,1-0
1969,2242,0-1
1955,2221,1/2-1/2
2212,1994,1-0
1945,2189,1-0
2182,1972,0-1
2171,1944,1/2-1/2
1903,2150,1/2-1/2
2135,1909,1-0
1861,2122,1-0
1835,2107,0-1
2095,1874,1-0
2084,1781,1-0
1833,2065,1/2-1/2
1776,2062,1/2-1/2
1694,2044,1/2-1/2
2042,1756,1/2-1/2
2180,1802,1-0
2044,1787,1-0
2034,1662,1-0
1889,1645,1/2-1/2
1885,1641,1/2-1/2
1872,1636,1/2-1/2
1853,1497,1-0
1926,1697,1-0
1549,1868,1-0
1525,1855,0-1
1450,1833,0-1
1320,1808,1/2-1/2
1807,1611,1-0
1499,1845,0-1
2519,2357,1/2-1/2
2468,2345,1-0
2315,2461,1/2-1/2
2532,2212,1-0
2242,2456,1/2-1/2
2230,2390,1-0
2150,2355,0-1
2351,2131,1-0
2135,2350,0-1
2337,2095,0-1
2084,2321,0-1
2063,2315,1/2-1/2
2307,2045,1/2-1/2
1972,2287,0-1
1889,2247,0-1
2062,2434,1/2-1/2
2288,2044,1-0
2044,2274,0-1
2269,2042,0-1
1900,2171,0-1
2138,1903,1-0
1806,2133,1/2-1/2
2132,1843,0-1
2123,1833,1-0
2100,1818,1-0
2083,1784,1-0
1855,2278,0-1
2140,1872,1-0
2122,1835,1-0
2015,1823,1-0
1973,1724,1-0
1692,1969,1/2-1/2
1968,1700,1-0
1951,1676,1-0
1929,1645,1-0
1909,1641,1-0
1571,1889,1/2-1/2
1880,1549,0-1
2279,1575,1-0
1972,1475,1-0
1899,1362,1-0
1868,1499,1-0
1485,1824,0-1
1774,1491,1-0
1454,1716,1-0
1697,1450,1-0
1370,1678,1-0
1301,1599,0-1
1119,1038,0-1
2756,2736,1/2-1/2
2533,2727,1/2-1/2
2625,2601,0-1
2544,2605,0-1
2676,2443,1/2-1/2
2498,2665,1/2-1/2
2646,2509,1-0
2491,2633,0-1
2585,2496,1/2-1/2
2566,2488,1-0
2366,2530,1/2-1/2
2564,2482,1-0
2447,2560,0-1
2554,2376,1/2-1/2
2435,2548,1/2-1/2
2433,2514,1/2-1/2
2408,2514,1/2-1/2
2651,2412,1-0
2642,2404,1-0
2603,2403,1-0
2573,2394,1-0
2540,2393,1/2-1/2
2349,2482,1/2-1/2
2462,2324,1-0
2450,2317,0-1
2302,2429,1-0
2428,2303,1-0
2426,2087,1-0
2422,2077,1-0
2176,2401,1-0
2408,2202,1-0
2380,2174,1-0
2230,2380,0-1
2379,2166,1-0
2107,2347,1/2-1/2
2104,2338,0-1
2069,2321,0-1
2038,2308,0-1
2009,2300,1-0
1950,2277,0-1
1945,2275,1-0
2339,1861,1-0
2251,2034,1/2-1/2
2221,2001,1-0
1948,2180,1/2-1/2
1944,2177,0-1
2172,1986,1-0
2170,1955,1/2-1/2
2150,1853,1-0
1756,2123,1/2-1/2
2065,1776,1-0
2065,1694,1/2-1/2
2211,1571,1-0
2189,1844,1-0
1843,2182,1-0
2037,1833,1-0
2031,1828,1-0
2009,1807,1/2-1/2
2008,1781,1-0
1994,1767,1-0
1985,1761,0-1
1701,1937,1-0
1636,1926,0-1
1642,1895,0-1
1562,1885,1-0
1497,1974,0-1
1819,1320,1-0
1335,1802,1/2-1/2
1677,1273,1/2-1/2
1304,1648,0-1
2488,2349,1-0
2482,2315,1/2-1/2
2308,2408,1/2-1/2
2393,2009,1-0
2380,1945,1-0
2095,2456,0-1
2429,2177,1/2-1/2
2404,2150,1-0
2347,2123,0-1
2324,2077,1/2-1/2
2303,2065,0-1
1843,2221,0-1
2434,2038,1-0
2390,2031,1-0
2034,2337,1/2-1/2
2300,2015,1/2-1/2
2275,1994,1/2-1/2
1972,2230,0-1
2202,1951,1-0
1926,2170,0-1
2133,1756,1-0
2131,1806,1-0
1694,2084,0-1
2182,1692,1/2-1/2
2044,1843,1-0
1845,2044,0-1
2001,1662,1/2-1/2
1974,1571,1-0
1776,2049,1-0
1676,1985,0-1
1872,1697,1-0
1844,1642,1-0
1835,1636,1-0
1808,1525,0-1
1767,1335,0-1
1362,1677,1-0
1634,1320,1-0
1716,1304,1-0
2605,2756,1-0
2601,2727,0-1
2560,2646,0-1
2633,2533,1-0
2443,2566,0-1
2468,2676,0-1
2665,2462,1-0
2435,2651,0-1
2433,2642,0-1
2428,2625,0-1
2530,2302,1-0
2426,2603,1/2-1/2
2422,2573,1/2-1/2
2376,2544,0-1
2514,2408,1-0
2317,2498,0-1
2496,2176,1-0
2357,2540,1-0
2355,2532,0-1
2350,2519,0-1
2509,2351,0-1
2338,2491,1-0
2482,2321,1/2-1/2
2461,2230,1-0
2321,2447,0-1
2287,2380,1/2-1/2
2277,2379,0-1
2247,2366,0-1
2171,2450,0-1
2412,2172,1-0
2403,2138,1-0
2394,2100,1-0
2345,2107,1-0
2087,2339,1/2-1/2
2315,2083,1-0
2066,2307,1/2-1/2
2045,2288,0-1
2274,2063,1-0
2042,2242,0-1
2401,2037,0-1
2278,2008,1-0
1973,2251,0-1
2212,1968,1-0
1955,2211,1-0
2189,1950,1/2-1/2
2180,1929,1/2-1/2
2174,1948,0-1
2166,1909,1-0
1895,2150,1-0
1889,2140,0-1
1874,2135,0-1
2123,1701,1-0
1839,2122,1-0
1861,2119,1-0
1761,2104,0-1
1562,2069,0-1
1549,2062,0-1
1889,2279,0-1
1875,2269,0-1
1853,2132,1-0
1833,2009,0-1
1818,1972,1-0
1807,1944,1-0
1571,1900,0-1
1784,1899,1/2-1/2
1937,1720,1-0
1885,1700,0-1
1648,1880,1/2-1/2
1645,1868,0-1
1641,1855,1-0
1833,1611,1-0
1828,1599,1-0
1823,1574,0-1
1802,1454,1/2-1/2
1781,1370,1-0
1775,1273,1-0
1575,1159,1-0
1678,1301,1-0
1224,1348,0-1
2646,2605,0-1
2727,2633,1/2-1/2
2566,2756,1/2-1/2
2736,2601,0-1
2676,2564,1-0
2544,2665,1/2-1/2
2651,2514,1-0
2642,2496,1-0
2498,2625,1/2-1/2
2603,2461,1-0
2379,2530,1-0
2447,2585,1/2-1/2
2573,2443,1-0
2560,2426,1/2-1/2
2366,2554,1/2-1/2
2548,2422,0-1
2533,2393,1/2-1/2
2532,2357,1/2-1/2
2519,2380,1-0
2514,2338,1-0
2351,2488,1-0
2482,2376,0-1
2321,2482,1/2-1/2
2456,2317,1/2-1/2
2450,2315,1-0
2288,2433,0-1
2242,2428,1-0
2462,2345,1/2-1/2
2221,2412,1-0
2302,2435,0-1
2408,2308,1-0
2408,2287,1-0
2176,2404,0-1
2065,2394,0-1
2123,2123,0-1
2315,2315,1/2-1/2
2380,2274,0-1
2540,2166,1-0
2177,2509,0-1
2491,2133,1-0
2170,2429,0-1
2140,2401,0-1
2135,2390,1/2-1/2
2131,2355,0-1
2123,2350,1/2-1/2
2349,2095,1-0
2339,2084,0-1
2104,2324,0-1
2077,2321,0-1
2307,2087,1/2-1/2
2069,2278,0-1
2062,2277,0-1
2251,2066,0-1
2009,2247,0-1
2230,1955,1-0
2230,1861,1-0
1948,2212,0-1
1839,2202,1/2-1/2
2337,1945,1-0
2044,2347,0-1
2015,2303,0-1
2009,2300,0-1
2279,2044,1/2-1/2
1974,2275,0-1
2269,2034,1-0
1994,2189,0-1
1969,2180,1/2-1/2
2172,2042,1-0
1929,2171,0-1
2150,1950,1-0
2150,1853,1-0
2138,1895,1-0
2107,1843,1-0
2083,1818,0-1
2065,1776,1-0
1900,2063,1-0
2211,1844,1-0
1868,2182,0-1
1833,2174,0-1
2122,1819,1-0
2119,1835,1/2-1/2
1828,2038,0-1
2037,1806,0-1
2031,1784,1-0
2008,1694,0-1
1781,2001,0-1
1756,1986,0-1
1985,1641,1-0
1701,1973,0-1
1724,1972,0-1
1968,1761,1-0
1951,1562,1-0
1700,1937,0-1
1692,1926,1-0
1899,1549,0-1
1662,1889,0-1
1574,1874,1-0
1525,1872,0-1
1335,1903,1/2-1/2
2132,1648,1-0
1972,1634,1-0
1944,1575,1-0
1774,1889,0-1
1880,1571,1-0
1571,1875,0-1
1497,1845,0-1
1843,1362,1-0
1475,1833,0-1
1454,1775,1-0
2049,1645,1-0
1642,1885,1/2-1/2
1855,1491,1-0
1636,1823,1/2-1/2
1611,1808,0-1
1767,1450,1-0
1720,1038,1-0
1348,1678,1-0
1370,1676,0-1
1677,1159,1-0
1273,1485,1/2-1/2
2488,2321,1-0
2428,2176,1-0
2412,2150,1-0
2390,2172,0-1
2189,2380,0-1
2347,2138,1-0
2171,2337,0-1
2315,2135,0-1
1818,2269,0-1
2009,2339,0-1
1986,2251,0-1
1973,2211,0-1
1972,2177,0-1
2174,1969,1-0
2133,1951,0-1
1937,2131,0-1
2044,1692,1-0
2038,1574,1-0
1694,2031,1/2-1/2
1895,2132,1/2-1/2
1889,2119,0-1
1875,2083,0-1
1853,2044,0-1
2034,1843,1-0
1845,2015,1/2-1/2
1835,1994,0-1
1776,1944,0-1
1903,1720,0-1
1700,1868,0-1
1819,1662,1-0
1802,1525,1-0
1634,1824,0-1
1823,1571,1-0
1571,1677,1-0
1648,1475,1-0
1362,1642,1/2-1/2
1320,1636,1-0
1038,1611,0-1
1159,1119,1-0
2605,2676,1-0
2727,2566,1/2-1/2
2633,2651,1/2-1/2
2601,2642,1/2-1/2
2756,2544,1-0
2665,2519,1/2-1/2
2514,2646,1-0
2625,2379,1-0
2422,2603,1/2-1/2
2498,2573,1/2-1/2
2530,2349,1/2-1/2
2585,2351,1-0
2426,2736,0-1
2564,2408,1-0
2404,2560,0-1
2554,2408,1-0
2403,2533,0-1
2394,2532,1-0
2514,2393,1-0
2496,2366,1-0
2376,2450,1-0
2317,2443,1-0
2435,2242,1-0
2433,2221,1-0
2274,2548,0-1
2345,2540,0-1
2509,2338,1/2-1/2
2324,2491,1-0
2482,2278,1-0
2468,2321,1-0
2277,2462,1/2-1/2
2461,2247,1-0
2212,2456,1-0
2357,2447,1-0
2429,2315,1/2-1/2
2401,2230,1-0
2084,2380,0-1
2355,2230,1/2-1/2
2066,2482,0-1
2350,2150,0-1
2308,2123,1/2-1/2
2307,2123,1/2-1/2
2303,2107,0-1
2100,2302,1-0
2300,2065,1/2-1/2
2087,2288,1-0
2287,2065,1-0
2275,1839,1-0
2202,1900,1-0
2001,2279,0-1
2182,1985,1/2-1/2
2180,1968,1-0
1945,2170,0-1
1955,2140,1-0
1889,2122,1-0
1872,2104,0-1
2095,1948,0-1
1861,2077,0-1
1549,2069,1-0
1806,2062,1/2-1/2
2045,1909,1-0
2042,1880,1-0
1843,2009,0-1
1833,1974,0-1
1807,1972,1/2-1/2
1950,1335,1-0
2037,1454,1/2-1/2
2049,1767,1/2-1/2
1756,2008,1/2-1/2
1926,1724,1-0
1761,1899,0-1
1874,1701,0-1
1676,1855,1/2-1/2
1844,1697,1/2-1/2
1641,1833,1/2-1/2
1562,1828,0-1
1808,1348,1-0
1775,1497,0-1
1575,1774,1/2-1/2
1678,1304,1-0
1645,1370,0-1
1491,1273,1-0
1485,1224,1-0
2605,2727,0-1
2625,2756,1/2-1/2
2651,2601,1/2-1/2
2642,2514,0-1
2566,2633,1/2-1/2
2736,2514,0-1
2676,2498,1-0
2496,2665,1/2-1/2
2603,2435,1-0
2519,2585,1/2-1/2
2338,2530,0-1
2573,2433,1-0
2564,2422,1/2-1/2
2560,2394,1-0
2554,2357,1/2-1/2
2533,2376,1/2-1/2
2646,2461,1-0
2548,2401,1-0
2544,2324,0-1
2540,2317,0-1
2380,2488,0-1
2379,2482,1/2-1/2
2351,2468,1/2-1/2
2462,2212,0-1
2532,2347,1-0
2337,2509,1/2-1/2
2315,2482,1-0
2450,2287,1-0
2447,2277,1-0
2269,2429,1-0
2230,2428,0-1
2242,2412,1/2-1/2
2408,2275,1/2-1/2
2408,2274,0-1
2221,2404,0-1
2172,2403,1/2-1/2
2393,2202,1-0
2380,2150,1-0
2366,2100,1-0
2135,2355,0-1
2349,2087,1-0
2107,2339,0-1
2491,2174,0-1
2456,2131,1-0
2443,2123,1-0
2170,2345,1/2-1/2
2321,2066,1-0
2321,2084,1-0
2104,2308,1/2-1/2
2123,2307,0-1
2077,2300,1/2-1/2
2279,2045,1-0
2278,2044,0-1
2251,2038,1-0
2247,1955,1-0
2065,2230,0-1
2211,1889,1-0
1951,2180,1/2-1/2
2177,1549,1-0
1948,2390,0-1
2044,2315,0-1
2031,2303,1-0
2302,2042,1-0
2288,2034,1-0
2009,2189,0-1
1994,2182,1-0
2176,1974,1-0
1985,2171,1/2-1/2
2150,1839,1-0
2138,1950,1/2-1/2
1944,2119,1/2-1/2
2083,1806,1/2-1/2
2065,1818,1/2-1/2
1929,2063,1-0
2062,1694,1/2-1/2
1900,2133,1/2-1/2
2140,1895,1-0
2132,1872,1-0
2122,1845,0-1
1868,2095,0-1
2069,1861,0-1
2015,1819,1/2-1/2
1828,2009,0-1
1787,2001,0-1
1781,1986,0-1
1720,1973,0-1
1972,1808,1-0
1701,1972,0-1
1574,1969,1/2-1/2
1968,1807,1-0
1692,1945,0-1
1454,1937,1-0
1909,1784,0-1
1899,1802,1-0
1824,2049,1/2-1/2
1823,2037,1-0
2008,1776,1/2-1/2
1767,1889,1/2-1/2
1880,1756,0-1
1697,1875,0-1
1855,1648,1-0
1676,1853,0-1
1641,1844,1/2-1/2
1843,1571,1-0
1497,1843,1-0
1335,1835,0-1
1833,1320,1-0
1575,1903,0-1
1525,1874,0-1
1774,1562,1-0
1348,1761,0-1
1724,1491,0-1
1370,1700,0-1
1662,1485,1-0
1611,1362,0-1
1475,1885,1/2-1/2
1301,1775,0-1
1716,1159,1-0
1450,1636,0-1
1224,1645,1-0
1304,1038,0-1
